"DiseaseID","DiseaseName","Severity","Symptoms","Medication"
"1","Anisakiasis","Low","Back Pain","Ativan"
"2","Actinomycosis","Medium","Rectal Pain","Ativan"
"3","Anaplasmosis","Medium","Chest pain","Ativan"
"4","Actinomycosis","Highly Infectious","Rectal Pain","Acetaminophen"
"5","Angiostrongyliasis","High","ToothAche","Adderall"
"6","Anaplasmosis","Medium","Rectal Pain","Alprazolam"
"7","Anisakiasis","High","Headache","Acetaminophen"
"8","Actinomycosis","Highly Infectious","Chest pain","Ativan"
"9","Amebiasis	","Low","Rectal Pain","Adderall"
"10","Amebiasis	","Low","Rectal Pain","Alprazolam"
"11","Angiostrongyliasis","Highly Infectious","Headache","Adderall"
"12","Angiostrongyliasis","Low","Back Pain","Alprazolam"
"13","Anaplasmosis","Medium","Headache","Alprazolam"
"14","Actinomycosis","Medium","ToothAche","Acetaminophen"
"15","Anisakiasis","Medium","Chest pain","Alprazolam"
"16","Anisakiasis","Low","Rectal Pain","Adderall"
"17","Anisakiasis","Medium","Abdominal pain","Ativan"
"18","Angiostrongyliasis","High","Back Pain","Adderall"
"19","Actinomycosis","Highly Infectious","ToothAche","Alprazolam"
"20","Actinomycosis","High","Headache","Adderall"
"21","Anaplasmosis","Highly Infectious","ToothAche","Alprazolam"
"22","Amebiasis	","High","Back Pain","Adderall"
"23","Anaplasmosis","Medium","Headache","Acetaminophen"
"24","Amebiasis	","Low","Back Pain","Ativan"
"25","Anaplasmosis","High","Rectal Pain","Acetaminophen"
"26","Anisakiasis","Low","Back Pain","Alprazolam"
"27","Anisakiasis","Low","Abdominal pain","Ativan"
"28","Actinomycosis","High","Chest pain","Acetaminophen"
"29","Anisakiasis","Medium","ToothAche","Alprazolam"
"30","Angiostrongyliasis","Highly Infectious","ToothAche","Acetaminophen"
"31","Amebiasis	","High","Abdominal pain","Acetaminophen"
"32","Angiostrongyliasis","Highly Infectious","Headache","Adderall"
"33","Anaplasmosis","Medium","Back Pain","Alprazolam"
"34","Amebiasis	","Medium","Abdominal pain","Adderall"
"35","Angiostrongyliasis","High","Back Pain","Ativan"
"36","Amebiasis	","High","ToothAche","Ativan"
"37","Anisakiasis","Medium","Rectal Pain","Acetaminophen"
"38","Amebiasis	","Medium","Rectal Pain","Alprazolam"
"39","Actinomycosis","High","Rectal Pain","Alprazolam"
"40","Angiostrongyliasis","Low","Back Pain","Adderall"
"41","Anisakiasis","Low","Rectal Pain","Alprazolam"
"42","Anisakiasis","High","Back Pain","Ativan"
"43","Amebiasis	","High","ToothAche","Adderall"
"44","Anaplasmosis","Low","Rectal Pain","Ativan"
"45","Anisakiasis","Medium","Headache","Adderall"
"46","Actinomycosis","Medium","Rectal Pain","Ativan"
"47","Angiostrongyliasis","Medium","Abdominal pain","Ativan"
"48","Actinomycosis","Medium","Headache","Adderall"
"49","Actinomycosis","Medium","Headache","Alprazolam"
"50","Amebiasis	","Highly Infectious","Headache","Acetaminophen"
"51","Angiostrongyliasis","Medium","Headache","Ativan"
"52","Angiostrongyliasis","High","ToothAche","Acetaminophen"
"53","Angiostrongyliasis","Low","Rectal Pain","Alprazolam"
"54","Angiostrongyliasis","Highly Infectious","Abdominal pain","Adderall"
"55","Amebiasis	","Medium","Headache","Acetaminophen"
"56","Angiostrongyliasis","Low","Headache","Ativan"
"57","Anisakiasis","High","Back Pain","Ativan"
"58","Amebiasis	","Highly Infectious","ToothAche","Ativan"
"59","Actinomycosis","Medium","Abdominal pain","Alprazolam"
"60","Anisakiasis","High","Back Pain","Ativan"
"61","Actinomycosis","Highly Infectious","Chest pain","Acetaminophen"
"62","Actinomycosis","Low","Back Pain","Alprazolam"
"63","Anisakiasis","Medium","Abdominal pain","Alprazolam"
"64","Angiostrongyliasis","Low","ToothAche","Alprazolam"
"65","Anisakiasis","Low","Back Pain","Ativan"
"66","Actinomycosis","Highly Infectious","Headache","Ativan"
"67","Anisakiasis","High","Abdominal pain","Adderall"
"68","Amebiasis	","Medium","Chest pain","Acetaminophen"
"69","Anisakiasis","Highly Infectious","Abdominal pain","Ativan"
"70","Anisakiasis","High","Abdominal pain","Alprazolam"
"71","Anaplasmosis","High","Back Pain","Acetaminophen"
"72","Actinomycosis","Highly Infectious","Back Pain","Alprazolam"
